Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKA;PKsv;PKm;Save%;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att (GK);Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;#OPA/90;AvgDist;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;npxG/Sh;G-xG;np:G-xG;TotDist;PrgDist;xA;A-xAG;KP;1/3;PPA;CrsPA;Live;Dead;TB;Sw;Crs;TI;In;Out;Str;Off;Blocks;SCA;SCA90;PassLive;PassDead;TO;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Tkl%;Lost;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Att Pen;Succ;Succ%;Tkld;Tkld%;Carries;CPA;Mis;Dis;Rec;PrgR;Mn/MP;Min%;Mn/Start;Compl;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;onxG;onxGA;xG+/-;xG+/-90;2CrdY;Fls;PKwon;PKcon;Recov;Won;Won%
Arsenal;25,0;25,8;56,9;38;418;3420;38,0;67,0;55,0;122,0;65,0;2,0;2,0;70,0;6,0;59,9;58,4;45,3;103,6;852,0;1826,0;1,76;1,45;3,21;1,71;3,16;1,58;1,19;2,77;1,54;2,73;34,0;0,89;120,0;86,0;74,2;20,0;14,0;4,0;13,0;34,2;3,0;0,0;0,0;0,0;2,0;8,0;0,0;35,1;0,28;1,1;0,03;149,0;478,0;31,2;1210,0;178,0;31,2;29,9;200,0;50,0;38,6;402,0;53,0;13,2;66,0;1,74;17,2;544,0;178,0;32,7;14,32;4,68;0,12;0,37;15,1;0,11;7,1;6,6;278808,0;87055,0;45,7;9,7;428,0;1397,0;437,0;75,0;18608,0;1553,0;80,0;74,0;766,0;598,0;211,0;3,0;2,0;80,0;278,0;969,0;25,5;726,0;82,0;52,0;34,0;11,0;119,0;3,13;86,0;11,0;6,0;4,0;1,0;598,0;348,0;220,0;249,0;129,0;260,0;50,5;255,0;222,0;225,0;823,0;680,0;33,0;24056,0;1844,0;1282,0;320,0;44,1;316,0;43,5;14234,0;286,0;483,0;382,0;16894,0;1801,0;90,0;100,0;83,0;272,0;142,0;18,0;200,0;1,95;69,0;34,0;35,0;0,92;59,9;34,4;25,5;0,67;3,0;401,0;2,0;3,0;1436,0;471,0;50,3
Aston Villa;28,0;27,0;50,5;38;418;3420;38,0;56,0;45,0;101,0;53,0;3,0;6,0;76,0;4,0;56,1;51,3;41,7;93,0;720,0;1344,0;1,47;1,18;2,66;1,39;2,58;1,48;1,1;2,57;1,35;2,45;51,0;1,34;156,0;104,0;68,6;19,0;9,0;10,0;9,0;23,7;2,0;1,0;0,0;33,3;1,0;2,0;0,0;52,1;0,32;1,1;0,03;181,0;474,0;38,2;1182,0;133,0;29,5;35,9;299,0;41,8;35,1;538,0;59,0;11,0;35,0;0,92;8,6;478,0;159,0;33,3;12,58;4,18;0,11;0,33;16,3;0,11;-0,1;1,7;252637,0;88182,0;36,9;3,3;358,0;1137,0;319,0;56,0;16044,0;1698,0;95,0;58,0;604,0;497,0;148,0;24,0;1,0;55,0;346,0;849,0;22,34;602,0;85,0;51,0;39,0;14,0;102,0;2,68;80,0;7,0;3,0;4,0;2,0;637,0;372,0;293,0;249,0;95,0;310,0;56,8;236,0;222,0;240,0;877,0;788,0;43,0;21699,0;2646,0;951,0;327,0;45,0;299,0;41,2;12334,0;212,0;508,0;386,0;14423,0;1331,0;90,0;100,0;80,0;246,0;170,0;23,0;170,0;1,74;58,0;51,0;7,0;0,18;56,1;50,1;5,9;0,16;2,0;406,0;6,0;3,0;1418,0;378,0;47,2
Bournemouth;29,0;25,1;48,5;38;418;3420;38,0;57,0;41,0;98,0;51,0;6,0;7,0;97,0;3,0;64,0;58,5;43,8;102,3;754,0;1489,0;1,5;1,08;2,58;1,34;2,42;1,68;1,15;2,84;1,54;2,69;46,0;1,21;172,0;126,0;75,6;15,0;11,0;12,0;9,0;23,7;4,0;0,0;0,0;0,0;1,0;5,0;0,0;54,8;0,3;8,8;0,23;174,0;465,0;37,4;960,0;158,0;35,2;36,8;266,0;47,7;39,4;460,0;25,0;5,4;62,0;1,63;12,6;574,0;192,0;33,4;15,11;5,05;0,09;0,27;16,7;0,1;-7,0;-7,5;233955,0;86767,0;36,5;-2,8;437,0;1242,0;339,0;106,0;15136,0;1694,0;59,0;78,0;832,0;686,0;166,0;18,0;4,0;70,0;314,0;1012,0;26,63;767,0;68,0;44,0;42,0;21,0;93,0;2,45;62,0;6,0;5,0;10,0;2,0;691,0;399,0;290,0;299,0;102,0;301,0;48,0;326,0;323,0;351,0;1042,0;1013,0;22,0;21618,0;2217,0;1005,0;294,0;43,8;300,0;44,6;11733,0;228,0;597,0;350,0;12855,0;1474,0;90,0;100,0;83,0;254,0;162,0;18,0;180,0;1,47;58,0;46,0;12,0;0,32;64,0;48,5;15,5;0,41;0,0;525,0;7,0;4,0;1821,0;573,0;48,6
Brentford;28,0;25,8;47,9;38;418;3420;38,0;65,0;44,0;109,0;60,0;5,0;6,0;62,0;1,0;59,0;54,4;42,4;96,8;598,0;1356,0;1,71;1,16;2,87;1,58;2,74;1,55;1,12;2,67;1,43;2,55;57,0;1,5;207,0;153,0;72,9;16,0;8,0;14,0;8,0;21,1;1,0;0,0;0,0;0,0;0,0;2,0;3,0;53,3;0,26;-0,7;-0,02;264,0;697,0;37,9;1453,0;129,0;36,3;34,9;327,0;51,7;41,3;597,0;48,0;8,0;34,0;0,89;4,7;434,0;173,0;39,9;11,42;4,55;0,14;0,35;14,9;0,13;6,0;5,6;245539,0;93263,0;38,1;1,6;330,0;1104,0;325,0;91,0;15453,0;1584,0;69,0;71,0;674,0;602,0;139,0;2,0;0,0;63,0;288,0;780,0;20,53;569,0;74,0;40,0;35,0;11,0;113,0;2,97;78,0;11,0;5,0;9,0;1,0;633,0;380,0;289,0;223,0;121,0;314,0;52,7;282,0;281,0;285,0;918,0;1040,0;28,0;21491,0;3282,0;987,0;265,0;42,3;293,0;46,7;11412,0;213,0;549,0;300,0;13153,0;1339,0;90,0;100,0;85,0;277,0;142,0;15,0;200,0;1,47;66,0;57,0;9,0;0,24;59,0;55,4;3,6;0,09;0,0;320,0;6,0;1,0;1644,0;624,0;52,4
Brighton;32,0;24,8;52,3;38;418;3420;38,0;64,0;41,0;105,0;57,0;7,0;7,0;78,0;3,0;58,7;53,3;40,4;93,7;816,0;1539,0;1,68;1,08;2,76;1,5;2,58;1,54;1,06;2,61;1,4;2,47;59,0;1,55;147,0;90,0;66,0;16,0;13,0;9,0;8,0;21,1;9,0;0,0;0,0;0,0;1,0;4,0;2,0;51,5;0,3;-5,5;-0,15;129,0;402,0;32,1;1178,0;129,0;29,3;25,1;243,0;23,5;23,1;436,0;29,0;6,7;50,0;1,32;15,4;526,0;183,0;34,8;13,84;4,82;0,11;0,31;17,2;0,1;5,3;3,7;268916,0;90984,0;39,1;0,6;377,0;1189,0;339,0;87,0;17527,0;1615,0;77,0;76,0;704,0;605,0;107,0;48,0;7,0;46,0;310,0;933,0;24,55;685,0;70,0;56,0;55,0;14,0;113,0;2,97;78,0;7,0;10,0;10,0;2,0;705,0;431,0;287,0;297,0;121,0;350,0;49,8;353,0;317,0;315,0;1020,0;762,0;29,0;23677,0;2601,0;1085,0;338,0;42,4;382,0;47,9;13919,0;263,0;583,0;344,0;15637,0;1522,0;90,0;100,0;82,0;231,0;184,0;18,0;158,0;1,61;66,0;59,0;7,0;0,18;58,7;54,6;4,1;0,11;2,0;438,0;6,0;9,0;1624,0;518,0;52,8
Chelsea;29,0;23,7;57,1;38;418;3420;38,0;61,0;47,0;108,0;57,0;4,0;5,0;101,0;2,0;67,8;63,8;52,7;116,5;861,0;1595,0;1,61;1,24;2,84;1,5;2,74;1,78;1,39;3,17;1,68;3,07;43,0;1,13;155,0;111,0;75,5;20,0;9,0;9,0;11,0;28,9;5,0;1,0;0,0;16,7;0,0;5,0;0,0;45,0;0,26;2,0;0,05;105,0;457,0;23,0;1207,0;209,0;34,5;24,1;224,0;17,9;20,9;423,0;49,0;11,6;59,0;1,55;13,2;590,0;203,0;34,4;15,53;5,34;0,1;0,28;16,7;0,11;-6,8;-6,8;311166,0;98339,0;41,8;-5,7;457,0;1488,0;346,0;73,0;19613,0;1642,0;79,0;95,0;663,0;587,0;121,0;37,0;8,0;65,0;304,0;1061,0;27,92;811,0;60,0;58,0;39,0;23,0;109,0;2,87;75,0;5,0;9,0;7,0;4,0;588,0;371,0;243,0;244,0;101,0;273,0;50,9;263,0;253,0;272,0;860,0;695,0;45,0;25217,0;2410,0;1115,0;326,0;41,6;336,0;42,9;14501,0;317,0;466,0;297,0;17888,0;1576,0;90,0;100,0;83,0;277,0;140,0;19,0;202,0;1,82;64,0;43,0;21,0;0,55;67,8;47,3;20,5;0,54;1,0;436,0;5,0;6,0;1577,0;402,0;50,8
Crystal Palace;29,0;26,2;42,8;38;418;3420;38,0;49,0;38,0;87,0;46,0;3,0;4,0;80,0;4,0;60,4;57,3;46,4;103,7;510,0;1158,0;1,29;1,0;2,29;1,21;2,21;1,59;1,22;2,81;1,51;2,73;51,0;1,34;150,0;101,0;66,7;13,0;14,0;11,0;11,0;28,9;1,0;1,0;0,0;50,0;1,0;5,0;3,0;51,2;0,35;3,2;0,08;157,0;600,0;26,2;922,0;115,0;48,5;38,5;293,0;52,2;42,4;559,0;30,0;5,4;40,0;1,05;14,3;512,0;175,0;34,2;13,47;4,61;0,09;0,26;16,8;0,11;-11,4;-11,3;213257,0;80237,0;36,6;-8,4;379,0;886,0;272,0;69,0;14066,0;1614,0;71,0;59,0;605,0;621,0;115,0;18,0;0,0;74,0;302,0;877,0;23,08;633,0;76,0;33,0;48,0;16,0;89,0;2,34;60,0;8,0;6,0;6,0;1,0;767,0;450,0;374,0;299,0;94,0;324,0;50,4;319,0;341,0;334,0;1101,0;1088,0;19,0;20389,0;2570,0;797,0;209,0;41,8;241,0;48,2;10275,0;126,0;491,0;339,0;11783,0;1140,0;90,0;100,0;83,0;268,0;148,0;18,0;192,0;1,39;51,0;51,0;0,0;0,0;60,4;49,1;11,3;0,3;3,0;417,0;4,0;2,0;1698,0;511,0;44,6
Everton;26,0;28,0;40,9;38;418;3420;38,0;39,0;27,0;66,0;37,0;2,0;2,0;82,0;2,0;41,8;40,2;32,2;72,4;486,0;1041,0;1,03;0,71;1,74;0,97;1,68;1,1;0,85;1,95;1,06;1,91;44,0;1,16;163,0;117,0;73,0;11,0;15,0;12,0;12,0;31,6;0,0;2,0;0,0;100,0;1,0;6,0;0,0;48,8;0,3;4,8;0,13;304,0;806,0;37,7;1297,0;161,0;51,0;39,7;289,0;50,2;40,7;558,0;31,0;5,6;57,0;1,5;15,2;404,0;139,0;34,4;10,63;3,66;0,09;0,27;16,8;0,1;-2,8;-3,2;215027,0;85013,0;27,2;-5,2;298,0;1003,0;261,0;92,0;13245,0;1627,0;30,0;83,0;682,0;678,0;101,0;24,0;11,0;81,0;295,0;713,0;18,76;530,0;65,0;44,0;31,0;12,0;68,0;1,79;46,0;4,0;6,0;5,0;3,0;732,0;433,0;366,0;269,0;97,0;338,0;51,5;318,0;254,0;345,0;1077,0;1088,0;25,0;19408,0;2462,0;732,0;283,0;44,5;305,0;48,0;9535,0;119,0;525,0;390,0;11309,0;1023,0;90,0;100,0;84,0;286,0;130,0;19,0;211,0;1,26;42,0;44,0;-2,0;-0,05;41,8;46,2;-4,5;-0,12;1,0;430,0;1,0;2,0;1524,0;614,0;52,1
Fulham;26,0;28,1;52,3;38;418;3420;38,0;53,0;44,0;97,0;50,0;3,0;4,0;80,0;2,0;49,0;45,9;37,5;83,4;786,0;1558,0;1,39;1,16;2,55;1,32;2,47;1,29;0,99;2,28;1,21;2,2;54,0;1,42;159,0;106,0;67,9;15,0;9,0;14,0;5,0;13,2;3,0;1,0;0,0;25,0;0,0;6,0;2,0;48,9;0,29;-3,1;-0,08;141,0;367,0;38,4;1138,0;167,0;24,5;28,9;265,0;33,2;30,2;507,0;23,0;4,5;33,0;0,87;13,3;516,0;167,0;32,4;13,58;4,39;0,1;0,3;16,4;0,09;4,0;4,1;289508,0;97635,0;35,0;6,5;398,0;1346,0;343,0;108,0;18077,0;1633,0;43,0;119,0;894,0;636,0;88,0;87,0;1,0;43,0;337,0;940,0;24,74;718,0;73,0;38,0;25,0;16,0;99,0;2,61;80,0;3,0;5,0;4,0;3,0;679,0;411,0;327,0;259,0;93,0;289,0;51,2;276,0;269,0;302,0;981,0;914,0;33,0;23926,0;2641,0;954,0;288,0;45,2;254,0;39,9;14026,0;213,0;515,0;281,0;16043,0;1544,0;90,0;100,0;83,0;239,0;179,0;17,0;163,0;1,42;54,0;54,0;0,0;0,0;49,0;47,2;1,8;0,05;0,0;432,0;3,0;4,0;1610,0;533,0;50,0
Ipswich Town;32,0;25,8;40,6;38;418;3420;38,0;35,0;26,0;61,0;33,0;2,0;2,0;93,0;5,0;34,4;32,8;24,2;57,0;513,0;935,0;0,92;0,68;1,61;0,87;1,55;0,9;0,64;1,54;0,86;1,5;82,0;2,16;210,0;130,0;63,8;4,0;10,0;24,0;2,0;5,3;6,0;0,0;0,0;0,0;0,0;11,0;2,0;73,6;0,33;-6,4;-0,17;189,0;531,0;35,6;1000,0;184,0;36,6;30,3;306,0;53,9;41,4;609,0;71,0;11,7;35,0;0,92;12,2;374,0;120,0;32,1;9,84;3,16;0,09;0,28;17,7;0,09;0,6;0,2;204832,0;77912,0;21,2;1,8;283,0;865,0;173,0;54,0;13146,0;1577,0;44,0;60,0;505,0;572,0;111,0;18,0;1,0;52,0;300,0;658,0;17,32;458,0;72,0;51,0;33,0;14,0;58,0;1,53;46,0;2,0;6,0;2,0;0,0;589,0;340,0;294,0;214,0;81,0;281,0;46,5;323,0;251,0;303,0;892,0;1102,0;39,0;19091,0;3012,0;605,0;277,0;43,1;290,0;45,1;9384,0;150,0;538,0;347,0;11405,0;920,0;90,0;100,0;82,0;237,0;178,0;17,0;164,0;0,58;36,0;82,0;-46,0;-1,21;34,4;72,7;-38,3;-1,01;4,0;430,0;2,0;6,0;1437,0;552,0;50,9
