Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKA;PKsv;PKm;Save%;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att (GK);Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;#OPA/90;AvgDist;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;npxG/Sh;G-xG;np:G-xG;TotDist;PrgDist;xA;A-xAG;KP;1/3;PPA;CrsPA;Live;Dead;TB;Sw;Crs;TI;In;Out;Str;Off;Blocks;SCA;SCA90;PassLive;PassDead;TO;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Tkl%;Lost;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Att Pen;Succ;Succ%;Tkld;Tkld%;Carries;CPA;Mis;Dis;Rec;PrgR;Mn/MP;Min%;Mn/Start;Compl;Subs;Mn/Sub;unSub;PPM;onG;onGA;+/-;+/-90;onxG;onxGA;xG+/-;xG+/-90;2CrdY;Fls;PKwon;PKcon;Recov;Won;Won%
Leicester City;32,0;26,6;45,4;38;418;3420;38,0;33,0;25,0;58,0;31,0;2,0;3,0;87,0;0,0;32,6;30,4;25,1;55,5;576,0;1082,0;0,87;0,66;1,53;0,82;1,47;0,86;0,66;1,52;0,8;1,46;80,0;2,11;209,0;131,0;63,2;6,0;7,0;25,0;3,0;7,9;3,0;1,0;0,0;25,0;0,0;5,0;3,0;74,6;0,35;-2,4;-0,06;181,0;688,0;26,3;1183,0;178,0;44,9;32,0;325,0;48,3;36,0;599,0;36,0;6,0;36,0;0,95;20,7;332,0;105,0;31,6;8,74;2,76;0,09;0,3;17,3;0,09;0,4;0,6;234016,0;83996,0;24,1;-0,1;252,0;953,0;216,0;67,0;15728,0;1695,0;52,0;47,0;621,0;664,0;86,0;29,0;4,0;63,0;319,0;585,0;15,39;427,0;49,0;44,0;34,0;5,0;56,0;1,47;37,0;4,0;6,0;4,0;0,0;728,0;431,0;361,0;278,0;89,0;336,0;48,3;359,0;307,0;327,0;1055,0;987,0;31,0;21748,0;2881,0;632,0;264,0;41,4;304,0;47,6;12276,0;143,0;500,0;336,0;13828,0;1072,0;90,0;100,0;82,0;250,0;168,0;19,0;174,0;0,66;33,0;80,0;-47,0;-1,24;32,6;71,9;-39,3;-1,03;0,0;420,0;3,0;4,0;1478,0;503,0;46,5
Liverpool;24,0;27,2;57,7;38;418;3420;38,0;85,0;65,0;150,0;76,0;9,0;9,0;67,0;3,0;82,2;75,2;61,6;136,8;825,0;1924,0;2,24;1,71;3,95;2,0;3,71;2,16;1,62;3,78;1,98;3,6;41,0;1,08;138,0;98,0;71,0;25,0;9,0;4,0;14,0;36,8;1,0;1,0;0,0;50,0;0,0;3,0;2,0;42,2;0,3;3,2;0,08;102,0;325,0;31,4;1108,0;179,0;24,6;29,0;239,0;21,8;24,5;370,0;17,0;4,6;58,0;1,53;14,0;639,0;215,0;33,6;16,82;5,66;0,12;0,35;15,9;0,12;2,8;0,8;312343,0;104887,0;54,3;3,4;509,0;1583,0;430,0;83,0;19998,0;1700,0;69,0;128,0;729,0;682,0;145,0;72,0;1,0;60,0;330,0;1151,0;30,29;881,0;70,0;82,0;27,0;18,0;147,0;3,87;111,0;7,0;12,0;6,0;1,0;642,0;391,0;271,0;267,0;104,0;340,0;51,8;316,0;270,0;299,0;941,0;724,0;31,0;25905,0;2422,0;1315,0;301,0;44,5;310,0;45,8;14931,0;322,0;532,0;350,0;18113,0;1910,0;90,0;100,0;82,0;252,0;165,0;20,0;177,0;2,21;86,0;41,0;45,0;1,18;82,2;38,6;43,6;1,15;1,0;430,0;6,0;2,0;1621,0;406,0;52,5
Manchester City;30,0;26,8;61,3;38;418;3420;38,0;71,0;51,0;122,0;68,0;3,0;4,0;59,0;2,0;68,1;64,9;54,2;119,1;1146,0;1944,0;1,87;1,34;3,21;1,79;3,13;1,79;1,43;3,22;1,71;3,13;44,0;1,16;128,0;86,0;68,8;21,0;8,0;9,0;13,0;34,2;4,0;0,0;0,0;0,0;1,0;4,0;2,0;46,3;0,35;4,3;0,11;112,0;269,0;41,6;1191,0;163,0;19,5;27,9;190,0;19,5;24,0;357,0;19,0;5,3;61,0;1,61;17,5;603,0;208,0;34,5;15,87;5,47;0,11;0,33;16,9;0,11;2,9;3,1;349984,0;98901,0;53,8;-3,2;472,0;1685,0;440,0;62,0;22822,0;1576,0;86,0;90,0;659,0;603,0;127,0;37,0;4,0;45,0;341,0;1096,0;28,84;852,0;69,0;68,0;41,0;10,0;125,0;3,29;95,0;3,0;11,0;4,0;2,0;497,0;299,0;183,0;216,0;98,0;214,0;47,7;235,0;242,0;229,0;726,0;619,0;35,0;28103,0;2092,0;1348,0;377,0;47,2;301,0;37,7;18077,0;404,0;476,0;395,0;21242,0;1920,0;90,0;100,0;85,0;286,0;131,0;16,0;207,0;1,87;72,0;44,0;28,0;0,74;68,1;47,7;20,4;0,54;1,0;287,0;4,0;4,0;1437,0;310,0;48,1
Manchester Utd;31,0;25,5;53,5;38;418;3420;38,0;42,0;29,0;71,0;38,0;4,0;4,0;86,0;3,0;52,6;49,4;39,7;89,1;697,0;1448,0;1,11;0,76;1,87;1,0;1,76;1,38;1,04;2,43;1,3;2,35;54,0;1,42;149,0;96,0;65,8;11,0;9,0;18,0;10,0;26,3;3,0;1,0;0,0;25,0;1,0;10,0;2,0;54,1;0,34;2,1;0,05;131,0;502,0;26,1;1206,0;148,0;32,0;34,1;247,0;47,0;36,4;455,0;26,0;5,7;30,0;0,79;12,0;524,0;168,0;32,1;13,79;4,42;0,07;0,23;17,4;0,1;-10,6;-11,4;278154,0;89708,0;35,6;-10,7;406,0;1141,0;335,0;73,0;18750,0;1596,0;94,0;107,0;630,0;646,0;96,0;45,0;11,0;69,0;355,0;939,0;24,71;711,0;78,0;38,0;36,0;15,0;70,0;1,84;45,0;4,0;5,0;6,0;4,0;817,0;493,0;394,0;305,0;118,0;400,0;55,3;323,0;279,0;358,0;1175,0;759,0;26,0;24734,0;2553,0;967,0;252,0;40,6;323,0;52,0;15116,0;230,0;521,0;353,0;16672,0;1433,0;90,0;100,0;81,0;256,0;161,0;23,0;180,0;1,11;44,0;54,0;-10,0;-0,26;52,6;53,8;-1,3;-0,03;1,0;403,0;4,0;4,0;1736,0;486,0;49,9
Newcastle Utd;24,0;27,4;51,3;38;418;3420;38,0;66,0;50,0;116,0;61,0;5,0;6,0;68,0;1,0;63,8;59,5;46,0;105,5;759,0;1595,0;1,74;1,32;3,05;1,61;2,92;1,68;1,21;2,89;1,57;2,78;47,0;1,24;161,0;115,0;71,4;20,0;6,0;12,0;13,0;34,2;1,0;1,0;0,0;50,0;0,0;4,0;2,0;47,7;0,29;2,7;0,07;90,0;337,0;26,7;863,0;246,0;22,7;25,2;251,0;56,2;43,6;486,0;49,0;10,1;75,0;1,97;15,3;519,0;163,0;31,4;13,66;4,29;0,12;0,37;15,9;0,12;2,2;1,5;260464,0;91034,0;42,2;4,0;399,0;1149,0;399,0;70,0;17088,0;1739,0;78,0;94,0;705,0;704,0;118,0;27,0;17,0;71,0;351,0;938,0;24,68;711,0;73,0;39,0;37,0;25,0;115,0;3,03;94,0;7,0;3,0;4,0;2,0;603,0;371,0;275,0;235,0;93,0;306,0;50,7;298,0;270,0;270,0;873,0;884,0;34,0;23032,0;2284,0;1082,0;282,0;42,9;298,0;45,4;13016,0;263,0;491,0;438,0;15294,0;1583,0;90,0;100,0;83,0;254,0;163,0;18,0;179,0;1,74;68,0;47,0;21,0;0,55;63,8;45,5;18,3;0,48;0,0;394,0;4,0;2,0;1632,0;487,0;51,1
Nott'ham Forest;23,0;26,1;41,2;38;418;3420;38,0;57,0;42,0;99,0;54,0;3,0;3,0;90,0;2,0;45,5;43,2;33,0;76,2;633,0;1125,0;1,5;1,11;2,61;1,42;2,53;1,2;0,87;2,07;1,14;2,0;46,0;1,21;165,0;119,0;73,9;19,0;8,0;11,0;13,0;34,2;3,0;0,0;0,0;0,0;1,0;5,0;0,0;49,1;0,29;3,1;0,08;244,0;698,0;35,0;662,0;83,0;73,7;44,7;323,0;65,0;47,0;710,0;19,0;2,7;12,0;0,32;8,7;460,0;162,0;35,2;12,11;4,26;0,12;0,33;17,5;0,1;11,5;10,8;185832,0;74897,0;29,9;9,0;333,0;974,0;241,0;64,0;12658,0;1617,0;59,0;62,0;621,0;615,0;71,0;76,0;0,0;91,0;282,0;798,0;21,0;569,0;74,0;35,0;40,0;20,0;91,0;2,39;58,0;10,0;3,0;8,0;4,0;698,0;419,0;406,0;225,0;67,0;343,0;51,2;327,0;270,0;322,0;1020,0;1220,0;24,0;18996,0;2463,0;785,0;259,0;44,6;233,0;40,1;8768,0;187,0;563,0;324,0;10733,0;1117,0;90,0;100,0;83,0;249,0;167,0;18,0;174,0;1,71;58,0;46,0;12,0;0,32;45,5;48,9;-3,4;-0,09;2,0;401,0;3,0;3,0;1588,0;570,0;50,5
Southampton;36,0;25,2;48,5;38;418;3420;38,0;25,0;16,0;41,0;25,0;0,0;2,0;89,0;3,0;32,7;30,9;24,8;55,8;640,0;1127,0;0,66;0,42;1,08;0,66;1,08;0,86;0,65;1,51;0,81;1,47;86,0;2,26;245,0;157,0;67,8;2,0;6,0;30,0;3,0;7,9;7,0;2,0;0,0;22,2;0,0;12,0;0,0;83,8;0,32;-2,2;-0,06;235,0;707,0;33,2;1224,0;172,0;44,7;29,5;297,0;53,9;41,9;587,0;35,0;6,0;27,0;0,71;6,5;341,0;106,0;31,1;8,97;2,79;0,07;0,24;16,3;0,09;-7,7;-5,9;263566,0;84964,0;23,9;-8,8;269,0;989,0;218,0;60,0;16979,0;1533,0;43,0;60,0;548,0;493,0;102,0;33,0;0,0;49,0;272,0;616,0;16,21;427,0;56,0;51,0;28,0;8,0;42,0;1,11;23,0;5,0;3,0;1,0;1,0;652,0;378,0;310,0;266,0;76,0;280,0;47,9;304,0;232,0;305,0;957,0;988,0;51,0;22776,0;3003,0;688,0;312,0;42,4;333,0;45,2;12656,0;165,0;486,0;355,0;15394,0;1118,0;90,0;100,0;80,0;237,0;180,0;22,0;162,0;0,32;26,0;86,0;-60,0;-1,58;32,7;84,8;-52,1;-1,37;0,0;459,0;2,0;9,0;1440,0;468,0;52,6
Tottenham;31,0;25,0;54,7;38;418;3420;38,0;61,0;47,0;108,0;58,0;3,0;4,0;72,0;1,0;58,8;55,7;44,4;100,1;840,0;1593,0;1,61;1,24;2,84;1,53;2,76;1,55;1,17;2,72;1,47;2,63;65,0;1,71;180,0;119,0;65,6;11,0;5,0;22,0;6,0;15,8;3,0;0,0;0,0;0,0;0,0;8,0;4,0;66,6;0,36;5,6;0,15;59,0;195,0;30,3;1047,0;192,0;16,6;27,2;272,0;7,7;16,3;520,0;49,0;9,4;45,0;1,18;11,1;493,0;177,0;35,9;12,97;4,66;0,12;0,33;16,0;0,12;2,2;2,3;275248,0;93006,0;36,3;2,6;375,0;1254,0;369,0;83,0;18013,0;1884,0;54,0;70,0;752,0;705,0;108,0;66,0;0,0;63,0;437,0;875,0;23,03;648,0;67,0;53,0;36,0;12,0;106,0;2,79;79,0;7,0;8,0;4,0;1,0;661,0;414,0;285,0;271,0;105,0;296,0;49,5;302,0;289,0;322,0;983,0;821,0;41,0;24315,0;2626,0;1001,0;308,0;37,9;425,0;52,3;15073,0;249,0;538,0;426,0;16373,0;1582,0;90,0;100,0;82,0;261,0;158,0;22,0;183,0;1,0;64,0;65,0;-1,0;-0,03;58,8;63,3;-4,5;-0,12;1,0;446,0;4,0;3,0;1659,0;422,0;49,1
West Ham;27,0;28,1;48,4;38;418;3420;38,0;43,0;29,0;72,0;40,0;3,0;3,0;82,0;3,0;47,0;44,7;33,9;78,6;632,0;1222,0;1,13;0,76;1,89;1,05;1,82;1,24;0,89;2,13;1,18;2,07;62,0;1,63;186,0;127,0;68,3;11,0;10,0;17,0;7,0;18,4;3,0;0,0;0,0;0,0;1,0;8,0;3,0;57,9;0,3;-1,1;-0,03;212,0;610,0;34,8;1167,0;174,0;37,4;32,1;311,0;55,9;41,9;614,0;25,0;4,1;42,0;1,11;15,0;473,0;137,0;29,0;12,45;3,61;0,08;0,29;16,3;0,1;-4,0;-4,7;258653,0;90743,0;32,0;-4,9;331,0;1075,0;267,0;72,0;16678,0;1612,0;53,0;133,0;613,0;612,0;82,0;57,0;1,0;73,0;343,0;815,0;21,45;582,0;69,0;48,0;34,0;17,0;67,0;1,76;42,0;5,0;3,0;3,0;1,0;654,0;388,0;317,0;253,0;84,0;290,0;54,5;242,0;271,0;331,0;985,0;1037,0;28,0;22887,0;2942,0;839,0;347,0;43,8;360,0;45,4;11796,0;175,0;492,0;392,0;14712,0;1214,0;90,0;100,0;81,0;243,0;172,0;22,0;170,0;1,13;46,0;62,0;-16,0;-0,42;47,0;59,7;-12,7;-0,33;2,0;443,0;2,0;3,0;1558,0;587,0;51,2
Wolves;32,0;26,9;48,1;38;418;3420;38,0;53,0;42,0;95,0;53,0;0,0;0,0;79,0;2,0;43,7;43,7;35,4;79,1;607,0;1185,0;1,39;1,11;2,5;1,39;2,5;1,15;0,93;2,08;1,15;2,08;69,0;1,82;168,0;100,0;63,1;12,0;6,0;20,0;8,0;21,1;7,0;2,0;0,0;22,2;2,0;11,0;3,0;59,7;0,32;-6,3;-0,17;153,0;532,0;28,8;1020,0;156,0;41,5;14,0;244,0;44,7;37,0;562,0;40,0;7,1;57,0;1,5;;431,0;155,0;36,0;11,34;4,08;0,12;0,34;18,1;0,1;9,3;9,3;246100,0;83847,0;26,6;6,6;323,0;1011,0;276,0;72,0;16133,0;1689,0;55,0;122,0;568,0;696,0;98,0;31,0;3,0;62,0;328,0;756,0;19,89;547,0;57,0;58,0;34,0;24,0;96,0;2,53;77,0;5,0;7,0;2,0;4,0;801,0;471,0;412,0;305,0;84,0;373,0;55,8;296,0;300,0;298,0;1099,0;947,0;25,0;22329,0;2578,0;729,0;324,0;44,3;315,0;43,1;12486,0;146,0;591,0;369,0;14358,0;1179,0;90,0;100,0;83,0;250,0;167,0;18,0;174,0;1,11;54,0;69,0;-15,0;-0,39;43,7;58,1;-14,5;-0,38;2,0;480,0;0,0;9,0;1659,0;451,0;48,7
All teams;28,7;26,26;50,0;;;;38,0;54,1;40,2;94,3;50,65;3,45;4,15;79,9;2,6;53,91;50,68;40,24;90,91;712,55;1404,3;54,1;40,2;94,3;50,65;2,39;53,91;40,24;2,48;50,68;90,91;55,75;1,47;168,4;113,6;69,16;14,35;9,3;14,35;8,9;23,42;3,45;0,7;0,0;69,16;0,65;6,2;1,65;54,82;0,31;0,71;0,02;165,6;507,0;32,59;1110,9;162,7;35,71;30,99;507,0;35,71;30,99;517,45;36,65;7,2;45,7;1,2;13,03;488,35;164,25;33,6;12,85;4,32;0,1;0,31;16,61;0,11;0,2;-0,02;258900,25;89068,5;35,84;-0,04;370,7;1173,55;317,25;75,85;16788,1;1643,9;64,5;84,3;668,75;625,1;117,0;37,6;3,8;63,75;321,6;868,05;22,84;642,7;69,35;49,15;36,4;15,3;93,9;2,47;642,7;69,35;49,15;36,4;15,3;668,6;399,5;309,85;261,15;97,6;668,6;51,05;297,65;273,15;301,65;970,25;907,8;32,1;22769,85;2576,45;944,95;297,65;43,17;310,9;45,13;12777,4;220,55;522,25;357,7;14905,45;1389,9;90,0;100,0;82,5;256,25;160,35;19,0;181,0;1,38;55,75;55,75;0,0;0,0;53,91;53,89;-0,0;0,0;1,3;419,9;3,7;4,15;1579,85;493,3;50,0
